date,industry,name,opportunities,salary,qualification,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Incident Manager,252,$130K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Incident and Problem Manager,296,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Information Analyst,72,$95K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Information Management Manager,507,N/A,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Information Manager,220,$130K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Information Security Analyst,272,$105K,"Complete a bachelor degree in computer science, programming, or a related field.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Information Technology Director,187,$165K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Information Technology Specialist,618,$60K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Analyst,48,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Architect,"1,059",$175K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Consultant,9,$125K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Engineer,"2,189",$125K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Lead,223,$130K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Manager,404,$130K,no data,,,,,,
2/04/2023 22:53,Engineering careers,Infrastructure Officer,15,$88K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Project Manager,"1,832",$140K,"Obtain a White Card. You can apply for a White Card online, and it is mandatory to hold one in order to work on a construction site in Australia.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Infrastructure Specialist,46,$110K,no data,,,,,,
2/04/2023 22:53,Consulting & Strategy careers,Innovation Officer,4,N/A,no data,,,,,,
2/04/2023 22:53,Marketing & Communications careers,Insights Analyst,259,$110K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Integration Analyst,49,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Integration Consultant,24,$140K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Integration Developer,372,$130K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Integration Engineer,145,$135K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering. This usually takes three to four years of full-time study. ",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Integration Manager,68,$160K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Integration Specialist,69,$125K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Intelligence Manager,22,$140K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Java Developer,"2,373",$135K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Software Engineering (Honours). Alternatively, a VET qualification such as a Diploma of Information Technology (ICT50220) can introduce you to some of the skills required for the role.",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Java Engineer,116,$140K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,JavaScript Developer,755,$115K,Complete a qualification in Computer Science with a focus on software development. This could be a Diploma of Information Technology (ICT50115) or a Bachelor degree majoring in Software Development.,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Licensing Specialist,2,N/A,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Magento Developer,13,$105K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Management Analyst,198,$100K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Mobile Application Developer,296,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering. This usually takes three to four years of full-time study.  ",,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Mobile Developer,311,$135K,no data,,,,,,
2/04/2023 22:53,Information & Communication Technology careers,Monitoring Engineer,34,$110K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network Administrator,"1,234",$90K,"Complete a relevant qualification such as a Diploma of Information Technology (Advanced Networking) (ICT50220), or a bachelor degree in information technology or computer science.  ",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network Architect,904,$150K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network Consultant,118,$148K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network Engineer,"3,863",$120K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Systems or Bachelor of Information Technology. If you have a previous tertiary qualification in another discipline, consider completing a postgraduate degree in information technology or networking. ",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network Specialist,"1,059",$110K,"Complete a bachelor degree in information technology, computer science or a similar field. This usually takes three years. ",,,,,,
