date,industry,name,opportunities,salary,qualification
4/04/2023 20:55,"Manufacturing, Transport & Logistics careers",Quality Engineer,922,$115K,no data
4/04/2023 20:55,Information & Communication Technology careers,Report Developer,61,$125K,no data
4/04/2023 20:55,Information & Communication Technology careers,Reporting Administrator,82,$75K,no data
4/04/2023 20:55,Information & Communication Technology careers,Reporting Analyst,"1,999",$95K,"Complete a bachelor degree in computer science, IT, data science, finance or economics. This usually takes three years. Seek internship opportunities while studying to gain workplace experience."
4/04/2023 20:55,Information & Communication Technology careers,Reporting Manager,"2,732",$145K,no data
4/04/2023 20:55,Information & Communication Technology careers,Reporting Specialist,54,$100K,no data
4/04/2023 20:55,Information & Communication Technology careers,Resource Manager,425,$125K,no data
4/04/2023 20:55,Information & Communication Technology careers,SQL Developer,"1,967",$115K,Complete a qualification such a Diploma of Software Development (ICT50715) or a Bachelor degree majoring in Software Development.
4/04/2023 20:55,Information & Communication Technology careers,Safety Engineer,24,$130K,no data
4/04/2023 20:55,Information & Communication Technology careers,Salesforce Administrator,216,$100K,no data
4/04/2023 20:55,Information & Communication Technology careers,Salesforce Developer,940,$135K,"Complete a degree in computer science or information technology. Alternatively, a bootcamp or intensive short course may provide you with relevant skills."
4/04/2023 20:55,Information & Communication Technology careers,Scrum Master,689,$140K,"Complete a relevant qualification such as a bachelor degree in business, IT or a related field."
4/04/2023 20:55,Information & Communication Technology careers,Search Engine Optimisation Specialist,60,$85K,"Complete a bachelor degree in IT, marketing, commerce or a related field. This usually takes three years of full-time study."
4/04/2023 20:55,Information & Communication Technology careers,Security Administrator,47,$115K,no data
4/04/2023 20:55,Trades & Services careers,Security Adviser,32,$95K,no data
4/04/2023 20:55,Information & Communication Technology careers,Security Analyst,691,N/A,"Complete a bachelor degree in computer science, information technology, cybersecurity or a related field. "
4/04/2023 20:55,Information & Communication Technology careers,Security Architect,710,$150K,no data
4/04/2023 20:55,Information & Communication Technology careers,Security Consultant,581,$155K,no data
4/04/2023 20:55,Information & Communication Technology careers,Security Engineer,670,$130K,no data
4/04/2023 20:55,Information & Communication Technology careers,Security Specialist,316,$130K,no data
4/04/2023 20:55,Information & Communication Technology careers,Server Engineer,656,$110K,no data
4/04/2023 20:55,Information & Communication Technology careers,Service Delivery Analyst,420,$90K,no data
4/04/2023 20:55,Call Centre & Customer Service careers,Service Delivery Officer,353,$60K,no data
4/04/2023 20:55,Information & Communication Technology careers,Service Desk Analyst,"2,582",$70K,"Complete a bachelor degree in computer science or information technology. This usually takes three years of full-time study. Alternatively, you could complete a VET qualification, such as a Certificate IV in Information Technology (Systems Administration Support). Courses accredited by the Australia Computer Society are internationally recognised and may offer future opportunities for certification and upskilling."
4/04/2023 20:55,Information & Communication Technology careers,Service Desk Consultant,136,$70K,no data
4/04/2023 20:55,Information & Communication Technology careers,Service Desk Manager,"1,029",$115K,no data
4/04/2023 20:55,Information & Communication Technology careers,Service Desk Officer,"1,521",$68K,"Complete a qualification in IT. This could be a Certificate IV in Information Technology (ICT40120), which usually takes one year. Alternatively, complete a degree in information technology, computer science or a related field, which usually takes three years and may provide broader career options. "
4/04/2023 20:55,Information & Communication Technology careers,Service Desk Technician,"1,770",$65K,no data
4/04/2023 20:55,Information & Communication Technology careers,Service Director,325,$145K,no data
4/04/2023 20:55,Hospitality & Tourism careers,Service Operator,-,$75K,no data
4/04/2023 20:55,Information & Communication Technology careers,Sitecore Developer,39,$130K,Complete a Bachelor of Computer Science or Bachelor of Information Technology. This usually takes three years of full-time study.  
4/04/2023 20:55,Information & Communication Technology careers,Software Architect,418,$155K,"Complete a bachelor degree in computer science, software engineering or a related field. This usually takes three to four years of full-time study."
4/04/2023 20:55,Information & Communication Technology careers,Software Developer,"4,053",$100K,"Complete a relevant bachelor degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Engineering (Software) (Honours). Alternatively, a VET qualification such as a Diploma of Information Technology (ICT50220) can introduce you to some of the skills required for the role."
4/04/2023 20:55,Information & Communication Technology careers,Software Engineer,"3,753",$120K,"Complete a relevant bachelor degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering. Alternatively, a bootcamp or intensive short course can introduce you to the fundamentals. Degrees accredited by the Australian Computer Society are internationally recognised and may offer future opportunities for certification and upskilling."
4/04/2023 20:55,Information & Communication Technology careers,Solutions Analyst,214,$115K,no data
4/04/2023 20:55,Information & Communication Technology careers,Solutions Architect,"1,167",$165K,"Complete a bachelor degree in a relevant field, such as information technology, information systems, software engineering or computer science."
4/04/2023 20:55,Information & Communication Technology careers,Solutions Consultant,159,$115K,no data
4/04/2023 20:55,Information & Communication Technology careers,Solutions Designer,"4,990",$150K,"Complete a bachelor degree in a relevant field, such as information technology, information systems, software engineering or computer science. "
4/04/2023 20:55,Information & Communication Technology careers,Solutions Developer,267,$110K,no data
