date,industry,name,opportunities,salary,qualification,
8/04/2023 16:41,Information & Communication Technology careers,Mobile Application Developer,295,$130K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering. This usually takes three to four years of full-time study.  ",
8/04/2023 16:41,Information & Communication Technology careers,Mobile Developer,312,$130K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Monitoring Engineer,36,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Network Administrator,"1,277",$90K,"Complete a relevant qualification such as a Diploma of Information Technology (Advanced Networking) (ICT50220), or a bachelor degree in information technology or computer science.  ",
8/04/2023 16:41,Information & Communication Technology careers,Network Architect,895,$150K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Network Consultant,152,$148K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Network Engineer,"3,894",$115K,"Complete a relevant degree, such as a Bachelor of Computer Science, Bachelor of Information Systems or Bachelor of Information Technology. If you have a previous tertiary qualification in another discipline, consider completing a postgraduate degree in information technology or networking. ",
8/04/2023 16:41,Information & Communication Technology careers,Network Specialist,"1,054",$105K,"Complete a bachelor degree in information technology, computer science or a similar field. This usually takes three years. ",
8/04/2023 16:41,Information & Communication Technology careers,Network Technician,410,$75K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Network and Systems Engineer,"1,453",$100K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Operations Engineer,201,$120K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Operations Lead,241,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Operations Specialist,195,N/A,no data,
8/04/2023 16:41,Information & Communication Technology careers,Optimisation Analyst,7,$110K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Optimisation Specialist,8,$110K,no data,
8/04/2023 16:41,Information & Communication Technology careers,PHP Developer,"1,043",$108K,"Complete a bachelor degree in computer science, IT or software engineering. Alternatively, a VET course such as a Diploma of Information Technology (ICT50220) can introduce you to the basic skills required for the role. ",
8/04/2023 16:41,Information & Communication Technology careers,Penetration Tester,588,$120K,"Complete a bachelor degree in cyber security, computer science, information technology or a related field.",
8/04/2023 16:41,Human Resources & Recruitment careers,Performance Consultant,19,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Performance Engineer,82,$145K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Platform Engineer,397,$135K,no data,
8/04/2023 16:41,Government & Defence careers,Platform Manager,142,$160K,no data,
8/04/2023 16:41,Marketing & Communications careers,Platform Specialist,60,$125K,no data,
8/04/2023 16:41,Banking & Financial Services careers,Portfolio Analyst,132,$105K,no data,
